num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,egalitarian_utilitarian_ratio,max_envy,mean_envy,max_deficit,mean_deficit,runtime
3,250,0.0,utilitarian_matching,0,39.196827368918726,35.8433734939759,0.914445782986968,0.0,0.0,10.0,0.6666666666666572,0.0795982000418007
3,250,0.0,utilitarian_matching,1,38.77248318110357,29.11646586345381,0.7509569538647506,7.028112449799199,2.3427041499330663,35.0,0.6666666666666572,0.0533464000327512
3,250,0.0,utilitarian_matching,2,38.52004257112026,34.23423423423424,0.8887382242900417,0.0,0.0,13.0,0.6666666666666572,0.0532700999174267
3,250,0.0,utilitarian_matching,3,38.614507895568416,25.05030181086519,0.6487277237512091,16.700201207243463,5.566733735747821,40.0,0.6666666666666572,0.0505017000250518
3,250,0.0,utilitarian_matching,4,38.669725370542814,25.97402597402597,0.6716889174964774,12.487512487512497,4.162504162504166,39.0,0.6666666666666572,0.0511623000493273
3,250,0.0,iterated_maximum_matching_unadjusted,0,39.20694811991342,39.0562248995984,0.9961557012840164,0.0,0.0,1.0,0.6666666666666572,1.0127514000050724
3,250,0.0,iterated_maximum_matching_unadjusted,1,38.74248724494779,38.43843843843844,0.9921520576470216,0.0,0.0,1.0,0.6666666666666572,0.9342597000068054
3,250,0.0,iterated_maximum_matching_unadjusted,2,38.524506270261405,38.03803803803804,0.9873724992395584,0.0,0.0,1.0,0.6666666666666572,0.96092610002961
3,250,0.0,iterated_maximum_matching_unadjusted,3,38.64970286297869,38.53118712273642,0.9969335924609192,0.0,0.0,1.0,0.6666666666666572,0.9586605000076815
3,250,0.0,iterated_maximum_matching_unadjusted,4,38.63625704251853,38.43098311817279,0.9946870131824664,0.0,0.0,1.0,0.6666666666666572,1.033931399928406
3,250,0.0,iterated_maximum_matching_adjusted,0,39.20694811991342,39.0562248995984,0.9961557012840164,0.0,0.0,1.0,0.6666666666666572,1.0287489999318495
3,250,0.0,iterated_maximum_matching_adjusted,1,38.74248724494779,38.43843843843844,0.9921520576470216,0.0,0.0,1.0,0.6666666666666572,0.971431800047867
3,250,0.0,iterated_maximum_matching_adjusted,2,38.524506270261405,38.03803803803804,0.9873724992395584,0.0,0.0,1.0,0.6666666666666572,0.9530483999988064
3,250,0.0,iterated_maximum_matching_adjusted,3,38.64970286297869,38.53118712273642,0.9969335924609192,0.0,0.0,1.0,0.6666666666666572,1.0085185999050736
3,250,0.0,iterated_maximum_matching_adjusted,4,38.63625704251853,38.43098311817279,0.9946870131824664,0.0,0.0,1.0,0.6666666666666572,0.9897191999480128
3,250,0.0,round_robin,0,39.20731708899304,38.961038961038966,0.9937185671900204,0.0,0.0,1.0,0.6666666666666572,0.0208846000023186
3,250,0.0,round_robin,1,38.74298975549046,37.93793793793794,0.9792207100527538,0.0,0.0,1.0,0.6666666666666572,0.020762600004673
3,250,0.0,round_robin,2,38.52675259373566,37.85926660059465,0.9826747403244794,0.0,0.0,1.0,0.6666666666666572,0.0202994999708607
3,250,0.0,round_robin,3,38.64983794672724,38.12877263581489,0.9865183054161688,0.0,0.0,1.0,0.6666666666666572,0.0203422999475151
3,250,0.0,round_robin,4,38.66863380976724,37.96203796203797,0.9817268990881496,0.0,0.0,1.0,0.6666666666666572,0.0206788999494165
3,250,0.0,bidirectional_round_robin,0,39.20721319480536,39.00497512437811,0.99484181470837,0.0,0.0,1.0,0.6666666666666572,0.0213022000389173
3,250,0.0,bidirectional_round_robin,1,38.70891852960975,38.33833833833834,0.9904264907068396,0.0,0.0,1.0,0.6666666666666572,0.021087099914439
3,250,0.0,bidirectional_round_robin,2,38.52536923143406,38.48454636091725,0.9989403639385886,0.0,0.0,1.0,0.6666666666666572,0.0206496999599039
3,250,0.0,bidirectional_round_robin,3,38.64840059644265,38.0281690140845,0.9839519469684024,0.0,0.0,1.0,0.6666666666666572,0.0208777000661939
3,250,0.0,bidirectional_round_robin,4,38.66975946730603,38.36163836163836,0.9920319880466758,0.0,0.0,1.0,0.6666666666666572,0.0209138001082465
3,250,0.0,almost_egalitarian_without_donation,0,39.20911532672008,38.70646766169154,0.9871803364896125,0.0,0.0,2.0,0.6666666666666572,1.6805039000464603
3,250,0.0,almost_egalitarian_without_donation,1,38.77562078817806,37.95180722891566,0.9787543424833172,0.0,0.0,8.0,0.6666666666666572,1.510630900040269
3,250,0.0,almost_egalitarian_without_donation,2,38.52557081104013,38.08574277168494,0.9885834776722074,0.0,0.0,3.0,0.6666666666666572,1.5434514000080526
3,250,0.0,almost_egalitarian_without_donation,3,38.6490348442421,38.329979879275655,0.9917448141654182,0.0,0.0,4.0,0.6666666666666572,1.6983319000573829
3,250,0.0,almost_egalitarian_without_donation,4,38.67055311258825,38.1330685203575,0.9861009334243064,0.0,0.0,2.0,0.6666666666666572,1.605263500008732
3,250,0.0,almost_egalitarian_with_donation,0,39.20911532672008,38.70646766169154,0.9871803364896125,0.0,0.0,2.0,0.6666666666666572,1.8059748000232505
3,250,0.0,almost_egalitarian_with_donation,1,38.77562078817806,37.95180722891566,0.9787543424833172,0.0,0.0,8.0,0.6666666666666572,1.5306949999649078
3,250,0.0,almost_egalitarian_with_donation,2,38.52557081104013,38.08574277168494,0.9885834776722074,0.0,0.0,3.0,0.6666666666666572,1.4837907999753952
3,250,0.0,almost_egalitarian_with_donation,3,38.6490348442421,38.329979879275655,0.9917448141654182,0.0,0.0,4.0,0.6666666666666572,1.6952010000823066
